,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,minAccelX,minAccelY,minAccelZ,minGyroX,minGyroY,minGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,pothole
0,-0.8723471199229232,-0.7319595702636651,-0.30572756177114896,-0.8303939806443122,-0.6704812756581136,-0.8799896035045466,0.6683721438523457,0.7819424096082086,0.4035875182265587,0.6005876252440179,0.7624394863702347,0.8788186382692402,-0.1013058617139069,-0.049598389979526356,0.16041179715693188,-0.24233067530058006,0.04668335487775493,-0.017175424399104456,-0.9521106299035523,-0.8898413887312744,-0.52004673802456,-0.8437523470479611,-1.0172499991311716,-1.0373201688654248,False
1,-0.49034337766321473,-0.2794985900405698,0.341879613328575,-0.561468421109746,-0.7431119648291747,-0.6611134225651607,0.7227028672024514,0.9426189161249724,1.1972810068106863,0.5397065873208111,0.5263598606379916,0.7410731761717247,0.1882704768586761,0.7598258488322325,0.9104153812835155,-0.32147969573957946,-0.09896243556365762,-0.09623785978571937,-0.7309672718556618,-0.6876209348998147,-0.7337471813821658,-0.683014122984034,-0.8798189463146628,-0.8517512735565412,False
2,-0.49043059312948123,-0.5070321859053291,0.375918909701748,-0.8591588777772159,-0.4856016353356008,-0.780470455074205,0.7585021810377923,0.5821659167147519,0.546263141691334,0.25294196252807516,0.642416198727543,0.5447871377934407,0.2404689471794387,0.3594375388356942,0.7236317989501875,-0.7011784681099534,-0.0318623826484659,-0.17611371331001935,-0.8109745687381263,-0.6874396550813694,-0.20358441665632757,-0.6400549492462234,-0.8273112644268118,-0.825479052155261,False
3,-0.5202582825935956,-0.4146816477430845,0.21805689197110903,-0.15212328886390375,-0.8700782713418231,-0.4162180860621673,0.37363849888797374,0.5997609105842678,-0.09876968374276346,-1.639719447656577,-0.14338144326087104,0.7601844931198762,0.05710173665750814,0.42513097233081637,0.3252835918168096,-0.9542149604014489,-0.5676935504471716,0.44123630886760834,-0.5462449185702051,-0.47638176411938227,0.0016204715343251907,0.6106562279974278,-0.465909161911829,-0.6384097983487674,False
4,-0.4486543847864643,-0.5675416182717459,0.08170847447631435,-0.48193061704156787,-0.23845754900478694,-0.46089849346347184,0.6193481423178316,0.34109006321087987,0.45803207278280345,0.6751791781058347,0.34734693761624236,0.6486474788201282,0.4873374463986727,-0.24852920971828069,0.4087126927290338,0.32807957646643865,-0.06745093164418803,0.31019223675957164,-0.65423128230904,-0.5436086059319973,-0.3009948942972077,-0.6376553642254218,-0.5245085918054745,-0.5719025728515418,False
5,-0.3934469946379746,-0.2691870575586468,-0.17999252039271188,0.057443689235621764,-0.2441103410246613,-0.5724481984155859,0.5181834931031387,0.33180381644641316,0.2146726365482445,0.2833278974635017,0.4376901775484826,0.3666299108485619,0.20435597540777448,0.024885009969162018,0.10628833280852473,0.8638889732798475,-0.08080224063892504,0.11802250299868473,-0.5049767226575478,-0.35628932950950415,-0.34189029588023384,-0.13620576434497633,-0.4637875489210685,-0.5896430603030759,False
6,-0.49322148805010013,-0.32856335448749835,-0.6762395658330709,-0.5160567481390118,-0.23992974127066882,-0.5575675269453476,0.2711261107994797,0.026335172878429777,0.18281678015895236,0.3423183432073337,0.28951480968310456,0.5106280923740315,0.10709569033623419,-0.1009502992609189,-0.4074799400048658,0.16445280765956136,-0.009661408076059396,0.00488989828235917,-0.41880831598852714,-0.23984295523112642,-0.8349451910748522,-0.41814710117765463,-0.3529504762645584,-0.5491931258483113,False
7,-0.21509136611717616,-0.39859112452954076,-0.8017833752094115,-0.10375186823770048,-0.08226510502767818,-0.5217220242020447,0.839871915543532,-0.2779115961152426,-0.14182335631737622,-0.24152728732543519,0.4571631141449125,0.3676644846279156,0.805404360217914,-0.35379528570881125,-0.4981434867633892,-0.30517906424547125,0.30048526740333353,-0.016882593869539376,-0.6108920977487947,-0.12164840503894706,-0.5364178048026421,-0.0031853995270354598,-0.37342098149812264,-0.478753164616738,False
8,-0.30064973852739635,-0.7704861751411642,-0.9477890088100688,-0.2052495561301115,0.5263607962298541,-0.46142470327566837,0.7999451514071754,-0.18651537795970194,0.12605543604712274,0.556813717342839,0.8460971478041224,-0.2395103404604426,0.6795974528664454,-0.8348947046798613,-0.5000808468374826,0.553720076041626,0.8552744695555058,-0.5343304079731902,-0.6974243924183642,-0.3643165532494385,-0.9940584161855092,-0.41057667900712586,-0.27740162795675727,-0.18849888307670767,False
9,0.26947776447527966,0.12605058306699077,0.025581881861001358,0.4389720061178765,1.4956875045212508,-0.5748150133648663,0.5257645242682697,-0.9091320011841626,-0.15910274508611663,-1.0333727928787442,0.5646123825463087,-0.7165212955454928,0.8884660635271868,-0.035897430122748625,0.05299866899833403,-2.4347434521917193,1.002428541424022,-1.3271582211945596,-0.2062536413155045,0.5732228901116111,0.0026728142278536235,0.7853638711481242,0.5422642906149284,0.04032000340888596,False
10,-0.4630449367209083,-0.18964094984098695,0.0036858176209515602,-0.35740705490917407,-0.002166884249435985,0.17255875032832782,0.5545724426957677,-0.0009126301278556807,0.46565817173660684,0.015652795279830198,0.14632551685562936,-0.13335899579106902,0.009200205554276662,0.07851448140856059,0.12670418422223145,-0.20190093062833486,0.011540352576000643,0.005014019864848149,-0.45347410134425964,-0.15344593463018916,-0.21768659179659847,-0.07880575468612357,-0.19384033934862782,-0.01757498697279432,False
11,-0.43225787712782826,-0.24686428943845296,-0.19978503260970043,-0.5336058860669246,-0.3778773536921126,-0.07755577448361861,-0.004570722572454878,0.2983244531114013,0.23948159137262948,0.38334320106291314,0.3384126522491041,0.6390850288332776,-0.5187254831801804,0.2097234138552259,0.02037009205426694,0.1839770557522295,0.05510977362126523,0.3398633202943164,-0.15198925539631933,-0.26013195558781277,-0.2843023184684773,-0.4261903775832573,-0.4586516833756307,-0.44576437581203776,False
